name,artist_wiki_references,artist_wiki_links,artist_categories,artist_most_common_nationality
archibald thorburn ,35,31,"1860 births, 1935 deaths, 19th-century Scottish male artists, 19th-century Scottish painters, 20th-century Scottish male artists, 20th-century Scottish painters, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DSI identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with Internet Archive links, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with Musée d'Orsay identifiers, Articles with NLA identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, British bird artists, Commons category link is on Wikidata, Fellows of the Zoological Society of London, People from Midlothian, Scottish illustrators, Scottish male painters, Scottish ornithologists, Scottish watercolourists, Short description is different from Wikidata, Use dmy dates from April 2022",Scottish
jacob jordaens ,28,130,"1593 births, 1678 deaths, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with DTBIO identifiers, Articles with Dutch-language sources (nl), Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with Spanish-language sources (es), Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, CS1: long volume value, Commons link is defined as the pagename, Flemish Baroque painters, Flemish genre painters, Flemish history painters, Flemish landscape painters, Flemish portrait painters, Flemish tapestry artists, Painters from Antwerp, People from Antwerp, Short description is different from Wikidata, Use dmy dates from June 2020",Flemish
neo rauch ,72,86,"1960 births, 20th-century German male artists, 20th-century German painters, 21st-century German male artists, 21st-century German painters, Academic staff of the Hochschule für Grafik und Buchkunst Leipzig, All BLP articles lacking sources, All articles with unsourced statements, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from June 2008, BLP articles lacking sources from May 2019, CS1 German-language sources (de), Commons category link from Wikidata, German contemporary artists, German male painters, Living people, Officers Crosses of the Order of Merit of the Federal Republic of Germany, People from Bezirk Leipzig, People from Markkleeberg, Short description is different from Wikidata, Webarchive template wayback links",German
francesco clemente ,44,66,"1952 births, 20th-century Italian male artists, 20th-century Italian painters, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with MoMA identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Naples, Italian contemporary artists, Italian emigrants to the United States, Italian male painters, Italian watercolourists, Living people, Neo-expressionist artists, Pages containing links to subscription-only content, People from Greenwich Village, Short description is different from Wikidata, Transavanguardia, Use dmy dates from January 2022",Italian
john wootton ,12,41,"1682 births, 1764 deaths, 17th-century English painters, 18th-century English male artists, 18th-century English painters, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, British war artists, Commons category link from Wikidata, English illustrators, English male painters, Equine artists, Landscape artists, People from Warwickshire (before 1974), Short description is different from Wikidata, Use British English from May 2012, Use dmy dates from August 2021",English
maqbool fida husain ,114,1295,"1915 births, 2011 deaths, 20th-century Indian male artists, 20th-century Indian painters, All Wikipedia articles written in Indian English, All articles with dead external links, All articles with unsourced statements, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NTA identifiers, Articles with PIC identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with dead external links from July 2022, Articles with dead external links from May 2017, Articles with dead external links from September 2017, Articles with hCards, Articles with permanently dead external links, Articles with short description, Articles with unsourced statements from July 2022, Articles with unsourced statements from September 2021, Artists from Indore, Burials at Brookwood Cemetery, CS1 maint: others, CS1 maint: unfit URL, Commons category link from Wikidata, Fellows of the Lalit Kala Akademi, Indian Ismailis, Indian emigrants to Qatar, Indian exiles, Indian male painters, Indian portrait painters, Muslim artists, Naturalised citizens of Qatar, Painters from Maharashtra, Recipients of the Padma Bhushan in arts, Recipients of the Padma Shri in arts, Recipients of the Padma Vibhushan in arts, Short description is different from Wikidata, Sir Jamsetjee Jeejebhoy School of Art alumni, Sulaymani Bohras, Use Indian English from March 2021, Use dmy dates from March 2021",Indian
jean dubuffet ,38,85,"1901 births, 1985 deaths, 20th-century French male artists, 20th-century French painters, 20th-century French sculptors, Académie Julian alumni, All articles with unsourced statements, Art Informel and Tachisme painters, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with French-language sources (fr), Articles with GND identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with PIC identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from May 2021, Artists from Le Havre, CS1 errors: requires URL, Commons category link is on Wikidata, French male painters, French male sculptors, Honorary Members of the Royal Academy, Modern painters, Modern sculptors, Pataphysicians, School of Paris, Short description is different from Wikidata, Use dmy dates from July 2014, Webarchive template wayback links",French
rosemarie trockel ,34,94,"1952 births, 21st-century German women artists, Academic staff of Kunstakademie Düsseldorf, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with PIC identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Commons category link from Wikidata, German conceptual artists, German contemporary artists, German printmakers, Honorary Members of the Royal Academy, Living people, Members of the Academy of Arts, Berlin, Pages containing links to subscription-only content, People from Schwerte, Short description is different from Wikidata, Use British English from October 2019, Use dmy dates from October 2019, Use list-defined references from October 2019, Wolf Prize in Arts laureates, Women conceptual artists, Women printmakers",German
henri de toulouse-lautrec ,78,238,"1864 births, 1901 deaths, 19th-century French male artists, 19th-century French painters, 20th-century French male artists, 20th-century French painters, 20th-century French printmakers, Alcohol-related deaths in France, All accuracy disputes, All articles with unsourced statements, Art Nouveau illustrators, Art Nouveau painters, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with French-language sources (fr), Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with disputed statements from May 2019, Articles with hCards, Articles with short description, Articles with unsourced statements from November 2015, Artists with disabilities, Burials in Nouvelle-Aquitaine, Counts of France, Deaths from syphilis, French erotic artists, French illustrators, French male painters, French people with disabilities, French poster artists, Henri de Toulouse-Lautrec, Lycée Condorcet alumni, Moulin Rouge, People from Albi, People of Montmartre, Post-impressionist painters, Short description matches Wikidata, Use dmy dates from September 2020, Webarchive template wayback links",French
helen bradley ,29,36,"1900 births, 1979 deaths, 20th-century English painters, 20th-century English women artists, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, English women painters, Members of the Order of the British Empire, Pages containing London Gazette template with parameter supp set to y, People from Lees, Greater Manchester, Short description is different from Wikidata, Use dmy dates from April 2022",English
"laurence stephen lowry, r.a. ",143,175,"1887 births, 1976 deaths, 20th-century English male artists, 20th-century English painters, All articles with unsourced statements, Alumni of Manchester Metropolitan University, Alumni of the University of Salford, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from February 2022, Articles with unsourced statements from March 2018, Artists from Lancashire, British war artists, Burials at Southern Cemetery, Manchester, CS1 maint: url-status, Commons category link is on Wikidata, English landscape painters, English male painters, English people of Northern Ireland descent, L. S. Lowry, Landscape artists, Members of the Royal Society of British Artists, Modern painters, Naïve painters, Pages containing links to subscription-only content, Pages using Template:Post-nominals with customized linking, People from Pendlebury, People from Stretford, Royal Academicians, Short description matches Wikidata, Use British English from March 2019, Use dmy dates from July 2022, Webarchive template wayback links, World War II artists",English
pablo picasso ,164,951,"1881 births, 1973 deaths, 19th-century Spanish male artists, 19th-century Spanish painters, 20th-century Spanish male artists, 20th-century Spanish painters, 20th-century Spanish sculptors, 20th-century ceramists, All articles containing potentially dated statements, All articles needing additional references, Articles containing French-language text, Articles containing potentially dated statements from 2015, Articles needing additional references from December 2022, Articles using small message boxes, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NARA identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with PIC identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hAudio microformats, Articles with hCards, Articles with short description, Ballet designers, Biography with signature, Burials in Provence-Alpes-Côte d'Azur, CS1: Julian–Gregorian uncertainty, CS1 French-language sources (fr), CS1 Spanish-language sources (es), Child artists, Commons category link is on Wikidata, Cubist artists, Deaths from pulmonary edema, Directors of the Museo del Prado, Former Roman Catholics, French Communist Party members, French people of Spanish descent, Incomplete lists from October 2021, Incomplete literature lists, Lang and lang-xx code promoted to ISO 639-1, Lenin Peace Prize recipients, Modern painters, Pablo Picasso, Painters of the Return to Order, People from Málaga, People of Montmartre, Political artists, Respiratory disease deaths in France, School of Paris, Short description matches Wikidata, Spanish Anti-Francoists, Spanish anti-fascists, Spanish atheists, Spanish communists, Spanish cubist artists, Spanish expatriates in France, Spanish male painters, Spanish male sculptors, Spanish muralists, Spanish people of Italian descent, Spanish people of the Spanish Civil War (Republican faction), Spanish potters, Spanish surrealist artists, Use Oxford spelling from March 2017, Use dmy dates from December 2022, Webarchive template wayback links, Wikipedia indefinitely move-protected pages, Wikipedia indefinitely semi-protected pages",Spanish
robert motherwell ,77,176,"1915 births, 1991 deaths, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, Abstract expressionist artists, Abstract painters, All articles with dead external links, American abstract artists, American contemporary painters, American male painters, Articles with AGSA identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with dead external links from October 2022, Articles with hCards, Articles with permanently dead external links, Articles with short description, Artists from Massachusetts, Artists from Washington (state), Black Mountain College faculty, Columbia University alumni, Harvard University alumni, Hunter College faculty, Modern painters, Painters from New York City, People from Aberdeen, Washington, People from Greenwich Village, Short description is different from Wikidata, Stanford University alumni, United States National Medal of Arts recipients, Webarchive template wayback links",American
romare bearden ,98,238,"1911 births, 1988 deaths, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, African-American United States Army personnel, African-American painters, African-American printmakers, African Americans in World War II, All articles with unsourced statements, American collage artists, American male painters, Art Students League of New York alumni, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NARA identifiers, Articles with NKC identifiers, Articles with PIC identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from January 2019, Artists from Charlotte, North Carolina, Artists from Pittsburgh, Baseball players from Charlotte, North Carolina, Boston University alumni, CS1 errors: missing periodical, CS1 maint: multiple names: authors list, CS1 maint: url-status, Commons category link from Wikidata, Lincoln University (Pennsylvania) alumni, Members of the American Academy of Arts and Letters, Modern painters, Negro league baseball players, New York University alumni, Painters from New York City, Painters from North Carolina, Short description matches Wikidata, Steinhardt School of Culture, Education, and Human Development alumni, United States Army personnel of World War II, United States National Medal of Arts recipients, Use mdy dates from August 2013, Webarchive template wayback links, Wikipedia external links cleanup from November 2015, Wikipedia spam cleanup from November 2015",American
alfredo ramos martínez ,20,177,"1871 births, 1946 deaths, 19th-century Mexican male artists, 19th-century Mexican painters, 20th-century Mexican male artists, 20th-century Mexican painters, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Mexican male painters, Mexican muralists, Mexican portrait painters, Modern painters",Mexican
